        Frequency                Csh=0.3/abs,dB
----------------------------------------------------------------------
                     600                     -0.68737749
                   602.1                     -0.72823852
                   604.2                     -0.77152496
                   606.3                     -0.81737298
                   608.4                     -0.86592112
                   610.5                     -0.91731166
                   612.6                     -0.97169104
                   614.7                      -1.0292136
                   616.8                      -1.0900374
                   618.9                      -1.1543231
                     621                       -1.222232
                   623.1                      -1.2939346
                   625.2                      -1.3695983
                   627.3                      -1.4493929
                   629.4                      -1.5334864
                   631.5                      -1.6220501
                   633.6                      -1.7152477
                   635.7                      -1.8132406
                   637.8                      -1.9161851
                   639.9                      -2.0242286
                     642                      -2.1375165
                   644.1                      -2.2561739
                   646.2                      -2.3803159
                   648.3                      -2.5100428
                   650.4                      -2.6454411
                   652.5                      -2.7865749
                   654.6                       -2.933478
                   656.7                      -3.0861702
                   658.8                      -3.2446486
                   660.9                      -3.4088738
                     663                      -3.5787582
                   665.1                      -3.7542209
                   667.2                      -3.9351252
                   669.3                      -4.1212907
                   671.4                      -4.3125002
                   673.5                      -4.5085192
                   675.6                      -4.7090537
                   677.7                      -4.9137563
                   679.8                      -5.1222789
                   681.9                      -5.3342121
                     684                       -5.549093
                   686.1                      -5.7664266
                   688.2                      -5.9857118
                   690.3                      -6.2063813
                   692.4                      -6.4278175
                   694.5                      -6.6494445
                   696.6                      -6.8706008
                   698.7                      -7.0906105
                   700.8                      -7.3088247
                   702.9                      -7.5245502
                     705                      -7.7371275
                   707.1                      -7.9458555
                   709.2                      -8.1501024
                   711.3                      -8.3492228
                   713.4                      -8.5426696
                   715.5                      -8.7298214
                   717.6                      -8.9102395
                   719.7                        -9.08343
                   721.8                      -9.2490163
                   723.9                      -9.4066745
                     726                      -9.5561685
                   728.1                      -9.6973406
                   730.2                      -9.8300171
                   732.3                      -9.9542116
                   734.4                      -10.069946
                   736.5                      -10.177276
                   738.6                      -10.276392
                   740.7                      -10.367397
                   742.8                      -10.450604
                   744.9                      -10.526219
                     747                      -10.594544
                   749.1                      -10.655891
                   751.2                      -10.710557
                   753.3                      -10.758827
                   755.4                      -10.801034
                   757.5                      -10.837472
                   759.6                      -10.868412
                   761.7                      -10.894091
                   763.8                      -10.914773
                   765.9                      -10.930666
                     768                      -10.941966
                   770.1                      -10.948819
                   772.2                      -10.951379
                   774.3                      -10.949746
                   776.4                      -10.944013
                   778.5                       -10.93426
                   780.6                      -10.920532
                   782.7                      -10.902861
                   784.8                      -10.881272
                   786.9                      -10.855789
                     789                      -10.826414
                   791.1                      -10.793163
                   793.2                      -10.756046
                   795.3                       -10.71508
                   797.4                      -10.670303
                   799.5                      -10.621764
                   801.6                      -10.569524
                   803.7                      -10.513671
                   805.8                      -10.454313
                   807.9                      -10.391593
                     810                      -10.325668
                   812.1                      -10.256726
                   814.2                      -10.184999
                   816.3                      -10.110715
                   818.4                      -10.034153
                   820.5                      -9.9555993
                   822.6                       -9.875379
                   824.7                      -9.7938124
                   826.8                      -9.7112497
                   828.9                      -9.6280365
                     831                      -9.5445384
                   833.1                      -9.4611098
                   835.2                      -9.3781059
                   837.3                      -9.2958759
                   839.4                      -9.2147592
                   841.5                      -9.1350778
                   843.6                      -9.0571321
                   845.7                      -8.9812073
                   847.8                      -8.9075645
                   849.9                      -8.8364381
                     852                      -8.7680379
                   854.1                      -8.7025382
                   856.2                      -8.6401007
                   858.3                      -8.5808497
                   860.4                       -8.524878
                   862.5                      -8.4722562
                   864.6                      -8.4230375
                   866.7                      -8.3772352
                   868.8                      -8.3348479
                   870.9                      -8.2958555
                     873                      -8.2602059
                   875.1                      -8.2278423
                   877.2                      -8.1986766
                   879.3                      -8.1726237
                   881.4                      -8.1495732
                   883.5                      -8.1294038
                   885.6                      -8.1119898
                   887.7                      -8.0971878
                   889.8                      -8.0848592
                   891.9                      -8.0748523
                     894                      -8.0670137
                   896.1                      -8.0611842
                   898.2                      -8.0572013
                   900.3                      -8.0549103
                   902.4                      -8.0541435
                   904.5                      -8.0547464
                   906.6                      -8.0565491
                   908.7                      -8.0593997
                   910.8                      -8.0631366
                   912.9                      -8.0676094
                     915                      -8.0726642
                   917.1                      -8.0781536
                   919.2                      -8.0839329
                   921.3                      -8.0898636
                   923.4                      -8.0958078
                   925.5                      -8.1016357
                   927.6                      -8.1072179
                   929.7                      -8.1124345
                   931.8                      -8.1171677
                   933.9                      -8.1213108
                     936                      -8.1247541
                   938.1                      -8.1274014
                   940.2                      -8.1291593
                   942.3                      -8.1299348
                   944.4                      -8.1296531
                   946.5                      -8.1282361
                   948.6                      -8.1256128
                   950.7                      -8.1217227
                   952.8                      -8.1165123
                   954.9                      -8.1099295
                     957                      -8.1019302
                   959.1                      -8.0924748
                   961.2                      -8.0815376
                   963.3                      -8.0690925
                   965.4                      -8.0551197
                   967.5                      -8.0396035
                   969.6                      -8.0225437
                   971.7                      -8.0039355
                   973.8                      -7.9837815
                   975.9                      -7.9620945
                     978                      -7.9388825
                   980.1                      -7.9141766
                   982.2                      -7.8879868
                   984.3                      -7.8603478
                   986.4                      -7.8312914
                   988.5                      -7.8008499
                   990.6                      -7.7690641
                   992.7                      -7.7359759
                   994.8                      -7.7016283
                   996.9                      -7.6660675
                     999                      -7.6293407
                  1001.1                      -7.5915085
                  1003.2                      -7.5526065
                  1005.3                      -7.5127018
                  1007.4                      -7.4718445
                  1009.5                      -7.4300904
