        Frequency                Csh=0.5/abs,dB
----------------------------------------------------------------------
                     600                    -0.092030207
                   602.1                    -0.097011052
                   604.2                     -0.10226528
                   606.3                      -0.1078066
                   608.4                     -0.11364844
                   610.5                     -0.11980466
                   612.6                     -0.12628855
                   614.7                     -0.13311399
                   616.8                     -0.14029453
                   618.9                     -0.14784299
                     621                     -0.15577188
                   623.1                     -0.16409319
                   625.2                     -0.17281841
                   627.3                     -0.18195745
                   629.4                     -0.19151949
                   631.5                      -0.2015127
                   633.6                     -0.21194357
                   635.7                     -0.22281754
                   637.8                     -0.23413751
                   639.9                     -0.24590562
                     642                     -0.25812185
                   644.1                     -0.27078457
                   646.2                     -0.28388969
                   648.3                     -0.29743204
                   650.4                      -0.3114045
                   652.5                     -0.32579861
                   654.6                     -0.34060349
                   656.7                     -0.35580801
                   658.8                     -0.37140152
                   660.9                     -0.38737008
                     663                     -0.40369973
                   665.1                     -0.42037875
                   667.2                     -0.43739455
                   669.3                     -0.45473617
                   671.4                     -0.47239366
                   673.5                     -0.49035666
                   675.6                     -0.50862119
                   677.7                     -0.52718393
                   679.8                     -0.54604181
                   681.9                     -0.56519775
                     684                     -0.58465822
                   686.1                     -0.60443284
                   688.2                     -0.62453413
                   690.3                     -0.64498022
                   692.4                     -0.66579264
                   694.5                     -0.68699402
                   696.6                     -0.70861799
                   698.7                     -0.73069642
                   700.8                     -0.75326863
                   702.9                     -0.77637491
                     705                     -0.80006466
                   707.1                     -0.82438749
                   709.2                     -0.84940131
                   711.3                     -0.87516001
                   713.4                     -0.90172937
                   715.5                     -0.92917717
                   717.6                     -0.95757613
                   719.7                     -0.98700093
                   721.8                      -1.0175353
                   723.9                      -1.0492571
                     726                      -1.0822617
                   728.1                      -1.1166407
                   730.2                      -1.1524948
                   732.3                      -1.1899305
                   734.4                      -1.2290517
                   736.5                      -1.2699838
                   738.6                      -1.3128389
                   740.7                      -1.3577516
                   742.8                      -1.4048588
                   744.9                      -1.4542983
                     747                      -1.5062188
                   749.1                      -1.5607907
                   751.2                      -1.6181716
                   753.3                      -1.6785405
                   755.4                       -1.742092
                   757.5                      -1.8090149
                   759.6                      -1.8795232
                   761.7                      -1.9538361
                   763.8                      -2.0321839
                   765.9                      -2.1148203
                     768                      -2.2020041
                   770.1                      -2.2940103
                   772.2                      -2.3911298
                   774.3                      -2.4936717
                   776.4                      -2.6019658
                   778.5                       -2.716352
                   780.6                      -2.8371933
                   782.7                       -2.964871
                   784.8                      -3.0997983
                   786.9                      -3.2423972
                     789                       -3.393118
                   791.1                      -3.5524326
                   793.2                      -3.7208492
                   795.3                      -3.8988964
                   797.4                      -4.0871216
                   799.5                        -4.28612
                   801.6                      -4.4965056
                   803.7                      -4.7189362
                   805.8                      -4.9540908
                   807.9                      -5.2027033
                     810                       -5.465547
                   812.1                      -5.7434253
                   814.2                      -6.0372014
                   816.3                      -6.3477828
                   818.4                      -6.6761347
                   820.5                      -7.0232822
                   822.6                      -7.3902846
                   824.7                      -7.7782897
                   826.8                       -8.188492
                   828.9                      -8.6221396
                     831                      -9.0804817
                   833.1                      -9.5648162
                   835.2                      -10.076378
                   837.3                      -10.616248
                   839.4                      -11.185272
                   841.5                      -11.783802
                   843.6                      -12.411384
                   845.7                      -13.066183
                   847.8                       -13.74427
                   849.9                      -14.438453
                     852                      -15.136757
                   854.1                      -15.820539
                   856.2                      -16.462842
                   858.3                      -17.028065
                   860.4                      -17.474755
                   862.5                      -17.763114
                   864.6                      -17.866305
                   866.7                       -17.78005
                   868.8                      -17.524217
                   870.9                      -17.135298
                     873                      -16.654891
                   875.1                      -16.120684
                   877.2                      -15.562135
                   879.3                      -15.000109
                   881.4                      -14.448235
                   883.5                      -13.914761
                   885.6                      -13.404256
                   887.7                      -12.918873
                   889.8                      -12.459209
                   891.9                      -12.024889
                     894                      -11.615051
                   896.1                      -11.228469
                   898.2                       -10.86384
                   900.3                      -10.519771
                   902.4                      -10.194885
                   904.5                       -9.887884
                   906.6                       -9.597543
                   908.7                      -9.3226677
                   910.8                      -9.0621963
                   912.9                      -8.8151139
                     915                      -8.5805078
                   917.1                      -8.3575068
                   919.2                      -8.1453337
                   921.3                      -7.9432726
                   923.4                      -7.7506493
                   925.5                      -7.5668452
                   927.6                      -7.3913149
                   929.7                      -7.2235186
                   931.8                      -7.0629934
                   933.9                      -6.9092881
                     936                       -6.761998
                   938.1                      -6.6207399
                   940.2                      -6.4851723
                   942.3                      -6.3549658
                   944.4                      -6.2298207
                   946.5                      -6.1094587
                   948.6                      -5.9936257
                   950.7                      -5.8820819
                   952.8                      -5.7745963
                   954.9                      -5.6709674
                     957                      -5.5710012
                   959.1                       -5.474514
                   961.2                      -5.3813356
                   963.3                      -5.2913116
                   965.4                      -5.2042962
                   967.5                      -5.1201445
                   969.6                      -5.0387334
                   971.7                      -4.9599387
                   973.8                      -4.8836454
                   975.9                      -4.8097482
                     978                      -4.7381445
                   980.1                      -4.6687395
                   982.2                       -4.601447
                   984.3                      -4.5361795
                   986.4                      -4.4728578
                   988.5                       -4.411402
                   990.6                      -4.3517507
                   992.7                      -4.2938293
                   994.8                      -4.2375759
                   996.9                      -4.1829285
                     999                      -4.1298311
                  1001.1                      -4.0782289
                  1003.2                      -4.0280672
                  1005.3                      -3.9793014
                  1007.4                      -3.9318793
                  1009.5                      -3.8857568
                  1011.6                      -3.8408907
                  1013.7                      -3.7972422
                  1015.8                      -3.7547694
                  1017.9                      -3.7134371
                    1020                      -3.6732064
                  1022.1                      -3.6340436
                  1024.2                      -3.5959162
                  1026.3                      -3.5587942
                  1028.4                      -3.5226421
                  1030.5                      -3.4874361
                  1032.6                      -3.4531432
                  1034.7                       -3.419741
                  1036.8                      -3.3871987
                  1038.9                      -3.3554947
                    1041                      -3.3246023
                  1043.1                       -3.294501
                  1045.2                      -3.2651653
                  1047.3                      -3.2365763
                  1049.4                       -3.208714
                  1051.5                      -3.1815544
                  1053.6                      -3.1550801
                  1055.7                      -3.1292737
                  1057.8                      -3.1041174
                  1059.9                      -3.0795909
                    1062                      -3.0556793
                  1064.1                      -3.0323676
                  1066.2                      -3.0096368
                  1068.3                      -2.9874768
                  1070.4                        -2.96587
                  1072.5                      -2.9448029
                  1074.6                       -2.924262
                  1076.7                      -2.9042346
                  1078.8                      -2.8847073
                  1080.9                      -2.8656697
                    1083                      -2.8471109
                  1085.1                      -2.8290145
                  1087.2                      -2.8113754
                  1089.3                      -2.7941811
                  1091.4                      -2.7774223
                  1093.5                      -2.7610884
                  1095.6                      -2.7451719
                  1097.7                      -2.7296608
                  1099.8                      -2.7145503
                  1101.9                      -2.6998291
                    1104                      -2.6854902
                  1106.1                      -2.6715265
                  1108.2                      -2.6579306
                  1110.3                      -2.6446967
                  1112.4                      -2.6318159
                  1114.5                      -2.6192828
                  1116.6                      -2.6070907
                  1118.7                       -2.595234
                  1120.8                      -2.5837073
                  1122.9                      -2.5725052
                    1125                      -2.5616214
                  1127.1                      -2.5510533
                  1129.2                      -2.5407924
                  1131.3                      -2.5308369
                  1133.4                      -2.5211819
                  1135.5                      -2.5118226
                  1137.6                      -2.5027562
                  1139.7                      -2.4939772
                  1141.8                      -2.4854821
                  1143.9                      -2.4772695
                    1146                       -2.469334
                  1148.1                      -2.4616725
                  1150.2                      -2.4542821
                  1152.3                      -2.4471605
                  1154.4                      -2.4403046
                  1156.5                      -2.4337111
                  1158.6                      -2.4273773
                  1160.7                      -2.4213019
                  1162.8                      -2.4154796
                  1164.9                      -2.4099129
                    1167                      -2.4045961
                  1169.1                       -2.399528
                  1171.2                      -2.3947049
                  1173.3                      -2.3901286
                  1175.4                      -2.3857937
                  1177.5                      -2.3816998
                  1179.6                      -2.3778461
                  1181.7                       -2.374229
                  1183.8                      -2.3708469
                  1185.9                      -2.3676996
                    1188                      -2.3647855
                  1190.1                      -2.3621014
                  1192.2                      -2.3596489
                  1194.3                      -2.3574232
                  1196.4                      -2.3554242
                  1198.5                      -2.3536514
                  1200.6                      -2.3521028
                  1202.7                      -2.3507769
                  1204.8                      -2.3496726
                  1206.9                      -2.3487879
                    1209                      -2.3481232
                  1211.1                      -2.3476756
                  1213.2                      -2.3474457
                  1215.3                      -2.3474309
                  1217.4                      -2.3476306
                  1219.5                      -2.3480437
                  1221.6                      -2.3486685
                  1223.7                      -2.3495057
                  1225.8                      -2.3505514
                  1227.9                      -2.3518066
                    1230                      -2.3532696
                  1232.1                        -2.35494
                  1234.2                      -2.3568154
                  1236.3                      -2.3588959
                  1238.4                      -2.3611795
                  1240.5                      -2.3636672
                  1242.6                      -2.3663553
                  1244.7                      -2.3692449
                  1246.8                      -2.3723346
                  1248.9                       -2.375623
                    1251                      -2.3791093
                  1253.1                      -2.3827933
                  1255.2                      -2.3866736
                  1257.3                      -2.3907493
                  1259.4                      -2.3950205
                  1261.5                      -2.3994849
                  1263.6                      -2.4041426
                  1265.7                      -2.4089933
                  1267.8                      -2.4140363
                  1269.9                      -2.4192698
                    1272                      -2.4246946
                  1274.1                      -2.4303096
                  1276.2                      -2.4361148
                  1278.3                      -2.4421084
                  1280.4                      -2.4482914
                  1282.5                      -2.4546629
                  1284.6                      -2.4612226
                  1286.7                        -2.46797
                  1288.8                      -2.4749058
                  1290.9                      -2.4820296
                    1293                      -2.4893403
                  1295.1                      -2.4968388
                  1297.2                      -2.5045256
                  1299.3                      -2.5123999
                  1301.4                      -2.5204629
                  1303.5                      -2.5287139
                  1305.6                      -2.5371543
                  1307.7                      -2.5457835
                  1309.8                      -2.5546024
                  1311.9                       -2.563612
                    1314                      -2.5728127
                  1316.1                      -2.5822059
                  1318.2                      -2.5917916
                  1320.3                       -2.601571
                  1322.4                      -2.6115453
                  1324.5                       -2.621716
